"","X","periodo","nombre_region","toi","to","tp","td","Ocupados","Desocupados","FDT","PET","FFT","OI","sexo"
"192",192,"2021.DEF","O'Higgins",24.29,51.55,56.91,9.42,413459,42999,456458,802009,345551,100423,"Ambos sexos"
"193",193,"2021.EFM","O'Higgins",25.64,51,56.52,9.77,409418,44314,453732,802845,349113,104963,"Ambos sexos"
"194",194,"2021.FMA","O'Higgins",25,49.93,55.28,9.67,401276,42953,444228,803661,359433,100304,"Ambos sexos"
"195",195,"2021.MAM","O'Higgins",25.44,48.07,54.13,11.2,386743,48759,435502,804518,369016,98402,"Ambos sexos"
"196",196,"2021.AMJ","O'Higgins",23.52,46.28,52.07,11.12,372715,46626,419341,805381,386040,87678,"Ambos sexos"
"197",197,"2021.MJJ","O'Higgins",24.49,46.87,52.34,10.46,377870,44121,421990,806227,384237,92547,"Ambos sexos"
"198",198,"2021.JJA","O'Higgins",24.93,47.36,51.75,8.48,382230,35424,417654,807064,389410,95299,"Ambos sexos"
"199",199,"2021.JAS","O'Higgins",27.01,48.46,52.45,7.61,391478,32238,423716,807827,384111,105734,"Ambos sexos"
"200",200,"2021.ASO","O'Higgins",28.07,49.14,53.28,7.76,397371,33417,430789,808585,377796,111544,"Ambos sexos"
"201",201,"2021.SON","O'Higgins",29.28,50.17,54.37,7.73,406061,34002,440062,809369,369307,118877,"Ambos sexos"
"202",202,"2021.OND","O'Higgins",29.56,52.17,56.11,7.02,422628,31910,454538,810115,355577,124943,"Ambos sexos"
"203",203,"2021.NDE","O'Higgins",29.17,53.54,57.27,6.51,434153,30246,464399,810911,346512,126631,"Ambos sexos"
"204",204,"2022.DEF","O'Higgins",29.06,55.14,58.91,6.39,447592,30537,478129,811683,333554,130050,"Ambos sexos"
"205",205,"2022.EFM","O'Higgins",28.41,54.46,58.42,6.77,442501,32147,474648,812462,337814,125708,"Ambos sexos"
"206",206,"2022.FMA","O'Higgins",28.07,54.54,58.39,6.58,443565,31252,474816,813212,338396,124511,"Ambos sexos"
"207",207,"2022.MAM","O'Higgins",28.08,52.73,56.83,7.22,429227,33405,462632,814009,351377,120506,"Ambos sexos"
"208",208,"2022.AMJ","O'Higgins",27.78,51.64,56.13,8,420700,36599,457299,814733,357434,116862,"Ambos sexos"
"209",209,"2022.MJJ","O'Higgins",27.93,51.1,55.38,7.72,416749,34846,451595,815513,363918,116383,"Ambos sexos"
"210",210,"2022.JJA","O'Higgins",28.32,51.8,55.98,7.46,422887,34082,456969,816314,359345,119782,"Ambos sexos"
"211",211,"2022.JAS","O'Higgins",29.34,51.85,55.94,7.31,423665,33421,457086,817077,359991,124288,"Ambos sexos"
"212",212,"2022.ASO","O'Higgins",29.02,51.79,55.79,7.16,423586,32692,456278,817878,361600,122910,"Ambos sexos"
"213",213,"2022.SON","O'Higgins",29.59,52.04,55.59,6.39,425994,29079,455074,818647,363573,126066,"Ambos sexos"
"214",214,"2022.OND","O'Higgins",28.09,52.45,55.69,5.8,429838,26484,456323,819458,363135,120725,"Ambos sexos"
"215",215,"2022.NDE","O'Higgins",28.58,52.29,55.8,6.29,428926,28783,457709,820272,362563,122603,"Ambos sexos"
